ID,houseID,price,lastElectric,curElectric,lastWater,curWater,net,date,desc,lastValue,curValue
ID,房间号,房租,上月电费,本月电费,上月水费,本月水费,是否有网,时间,备注或描述,上月西边电费,本月西边电费
1-1-20200210,1月1日,,,,,,0,,,,
101-20200211,101,10000,7119,7249,35,39,0,20200210,以后发电子收据，需要纸质收据说下,3842,3904
201-20200211,201,500,7120,7250,36,40,1,20200211,以后发电子收据，需要纸质收据说下,3843,3905
202-20200212,202,400,7121,7251,37,41,2,20200212,以后发电子收据，需要纸质收据说下,3844,3906
203-20200212,203,400,7122,7252,38,42,3,20200213,以后发电子收据，需要纸质收据说下,3845,3907
204-20200213,204,400,7123,7253,39,43,4,20200214,以后发电子收据，需要纸质收据说下,3846,3908
205-20200213,205,500,7124,7254,40,44,5,20200215,以后发电子收据，需要纸质收据说下,3847,3909
206-20200214,206,400,7125,7255,41,45,6,20200216,以后发电子收据，需要纸质收据说下,3848,3910
207-20200214,207,400,7126,7256,42,46,7,20200217,以后发电子收据，需要纸质收据说下,3849,3911
208-20200215,208,500,7127,7257,43,47,8,20200218,以后发电子收据，需要纸质收据说下,3850,3912
301-20200215,301,400,7128,7258,44,48,9,20200219,以后发电子收据，需要纸质收据说下,3851,3913
302-20200216,302,400,7129,7259,45,49,10,20200220,以后发电子收据，需要纸质收据说下,3852,3914
303-20200216,303,400,7130,7260,46,50,11,20200221,以后发电子收据，需要纸质收据说下,3853,3915
304-20200217,304,400,7131,7261,47,51,12,20200222,以后发电子收据，需要纸质收据说下,3854,3916
305-20200217,305,400,7132,7262,48,52,13,20200223,以后发电子收据，需要纸质收据说下,3855,3917
306-20200218,306,400,7133,7263,49,53,14,20200224,以后发电子收据，需要纸质收据说下,3856,3918
307-20200218,307,400,7134,7264,50,54,15,20200225,以后发电子收据，需要纸质收据说下,3857,3919
308-20200219,308,400,7135,7265,51,55,16,20200226,以后发电子收据，需要纸质收据说下,3858,3920
401-20200219,401,400,7136,7266,52,56,17,20200227,以后发电子收据，需要纸质收据说下,3859,3921
402-20200220,402,400,7137,7267,53,57,18,20200228,以后发电子收据，需要纸质收据说下,3860,3922
403-20200220,403,400,7138,7268,54,58,19,20200229,以后发电子收据，需要纸质收据说下,3861,3923
404-20200221,404,400,7139,7269,55,59,20,20200230,以后发电子收据，需要纸质收据说下,3862,3924
1-1-20200221,405,400,7140,7270,56,60,21,20200231,以后发电子收据，需要纸质收据说下,3863,3925
101-20200222,406,400,7141,7271,57,61,22,20200232,以后发电子收据，需要纸质收据说下,3864,3926
1-1-20200222,407,400,7142,7272,58,62,23,20200233,以后发电子收据，需要纸质收据说下,3865,3927
101-20200223,408,520,7143,7273,59,63,24,20200234,以后发电子收据，需要纸质收据说下,3866,3928
1-1-20200223,501,400,7144,7274,60,64,25,20200235,以后发电子收据，需要纸质收据说下,3867,3929
101-20200224,502,400,7145,7275,61,65,26,20200236,以后发电子收据，需要纸质收据说下,3868,3930
1-1-20200224,503,400,7146,7276,62,66,27,20200237,以后发电子收据，需要纸质收据说下,3869,3931
101-20200225,504,400,7147,7277,63,67,28,20200238,以后发电子收据，需要纸质收据说下,3870,3932
1-1-20200225,505,400,7148,7278,64,68,29,20200239,以后发电子收据，需要纸质收据说下,3871,3933
404-20200221,404,400,7139,7269,55,59,20,20200230,以后发电子收据，需要纸质收据说下,3862,3924